date,count
20170412135646,2,255,260
20170416081847,2,256,229
20170419184551,2,257,519
20170420035642,2,258,086
20170421102930,2,258,921
20170423025635,2,259,692
20170424024938,2,260,246
20170424214451,2,260,558
20170425105356,2,260,857
20170427075330,2,261,797
20170428121511,2,262,377
20170503191229,2,264,508
20170506205756,2,265,545
20170507053647,2,265,552
20170508045727,2,265,959
20170509045529,2,266,265
20170511015448,2,267,294
20170517194053,2,279,448
20170518224057,2,282,863
20170523190526,2,292,714
20170601214002,2,310,340
20170602032040,2,311,721
20170602231201,2,318,987
20170602233949,2,319,105
20170603023347,2,319,680
20170603120535,2,322,174
20170603142557,2,322,686
20170603142601,2,322,686
20170603231618,2,324,070
20170603232427,2,324,085
20170604062531,2,325,099
20170605190625,2,331,273
20170606045549,2,332,527
20170607135915,2,336,042
20170608121626,2,338,043
20170608170635,2,338,887
20170608233055,2,339,656
20170609203447,2,342,135
20170610120931,2,343,604
20170610192417,2,344,339
20170611131635,2,345,966
20170611171349,2,346,410
20170611230943,2,346,917
20170612123334,2,347,019
20170612203427,2,348,537
20170612211152,2,348,662
20170613084138,2,350,389
20170614004802,2,353,430
20170614014541,2,353,572
20170614085908,2,354,677
20170615131821,2,357,429
20170615140614,2,357,500
20170615200018,2,357,961
20170615235029,2,357,997
20170616094643,2,359,751
20170616122711,2,360,208
20170616182110,2,361,019
20170616214242,2,361,214
20170617104425,2,361,849
20170617125747,2,361,941
20170617183913,2,362,203
20170617200430,2,362,257
20170618151526,2,362,950
20170618161150,2,363,002
20170618211210,2,363,252
20170619161950,2,364,890
20170619222753,2,365,220
20170620074916,2,365,537
20170620074917,2,365,537
20170620163432,2,365,765
20170620212540,2,365,866
20170621223252,2,366,587
20170621225350,2,366,582
20170622230730,2,367,413
20170623084923,2,367,635
20170623222438,2,367,844
20170623232332,2,367,861
20170624223500,2,368,273
20170625005059,2,368,308
20170625225509,2,368,745
20170626004209,2,368,268
20170626232117,2,368,348
20170627220943,2,368,931
20170627220944,2,368,931
20170629012933,2,368,509
20170629105524,2,368,009
20170629174118,2,368,283
20170630183835,2,369,406
20170701034546,2,369,708
20170701205110,2,370,337
20170702053224,2,370,631
20170702061415,2,370,640
20170702213600,2,371,267
20170703060457,2,371,547
20170703112750,2,371,681
20170703212453,2,372,059
20170704013247,2,372,134
20170705005957,2,372,796
20170705023741,2,372,825
20170705044734,2,372,889
20170705053640,2,372,907
20170706043429,2,373,524
20170706161100,2,373,980
20170707063446,2,374,242
20170707064616,2,374,249
20170708070835,2,374,724
20170708183942,2,374,931
20170709062152,2,375,123
20170709085059,2,375,156
20170710184041,2,374,868
20170711053326,2,374,924
20170711181318,2,375,246
20170712103722,2,375,744
20170801113550,2,381,454
date,count
20160210094813,1484209
20160211125529,1487219
20160320033801,1602343
20170605234814,2331849
20170607051011,2335364
